time,text
2020-01-02 00:00:00,"$SBES looking back up coming into EOD. Lets break hod and have a big power hour! 

congrats to all in $INPX! God damn what a monster

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-02 00:00:00,"2020年台はAIの時代やで　by  Google

Googleが所有するDeepmind社のAIがガン発見勝負でリアルの医師団を破る👨‍⚕️CNBC"
2020-01-02 00:00:00,"$GOOG アルファベット
調べれば調べる程、良いとしか思えない。

①CEO交代に伴う株主還元期待
②YouTubeの強烈な成長
③そろそろ花開きそうなWaymo
④Gmail、Googleマップの有料化
⑤世界で最も優秀な人材が集まる組織
⑥後発のクラウドも順調
⑦Googleアシスタント
⑧Waymo以外のother Betsも楽しみ"
2020-01-02 00:00:00,"📈📈 Thursday Morning's #Top10 Most Actively-Traded Stocks 📉📉  

1. $AMD 
2. $AAPL  
3. $MSFT 
4. $BABA
5. $ROKU
6. $TSLA
7. $FB
8. $NVDA
9. $AMZN 
10. $GOOG  

See the rest of today's trending stocks here: https://t.co/ulWhJgJZgh

$DIA $SPY $QQQ https://t.co/ivF6J92Obu"
2020-01-02 00:00:00,"$ALPP next leg could see $1.75 before consolidating to .90/$1.10 before moving to $2+ in 2020 on Nasdaq Uplist. This is FUSZ on steroids. 

$OWCP $AMRN $SBES $OPTI $GOOG $AMZN $NFLX $HD $SNPW $DMBB $VRUS $ACHV $CFRX $NK $FLES $IGPK $PTAH $TSLA $MSFT $KYNC $PHIL $INPS $ADSV $FUSZ https://t.co/EsKukoCSA7"
2020-01-02 00:00:00,"My end of year top holdings:

$MA 8%
$GOOG 7%
$MELI 7%
$AMZN 6%
$NFLX 6%
$BKNG 6%
$ISRG 5%
$FB 5%
$SBUX 5%
$V 4%
$PAYC 4%
$DOCU 3%
$ADBE 3%
$SQ 2%
$ADSK 2%
$TSLA 2%"
2020-01-03 00:00:00,"Back to the future :)

$amzn is at 1900 (x50)
$goog is  at 1350 (x5)"
2020-01-03 00:00:00,Can #artificialintelligence diagnose #cancer better than human doctors? According to #Google they say yes but not always! Could be a good 2nd opinion in the future as the #technology improves but #dataprivacy a concern as $goog pushes further into #healthcare #foxnews #technews https://t.co/m5qANxOHmc
2020-01-03 00:00:00,$amzn at $36 and $goog at $280 are steals. buying more tomorrow. in both cases you get huge new business initiatives for free.
2020-01-03 00:00:00,"Found this site interesting for some commentary on $WFC $SCHW $GOOG $NKE $CBRE $MCO $BKNG

Donald Yacktman's son's investment biz - ""YCG""

https://t.co/CQwB4CPVe4"
2020-01-03 00:00:00,"The #SectorSelector for 01/03/20 is posted.

🥇 Technology $XLK
🥈 Financials $XLF
🥉 Communications $XLC

Premium @Market_Scholars can $STUDY the full version at https://t.co/O9z0AIT3ZR

It features stocks with 52 week highs like $AAPL $MSFT $GOOG $FB $BABA $BRKB $JPM $V $BAC $C https://t.co/Yk291oIiWT"
2020-01-03 00:00:00,"Story of @Mixmax

- @chanpory wanted to add features to Gmail.Requests 👎
- Same time, tired of 2 hr commute to Google HQ
- Left $GOOG, met @BradVogel and @olofster
- Started Mixmax sometime later
- 10K+ Users
- $13M+ Raised(@saastr)
- Profitable
- Google's Loss, Email's Gain

😀"
2020-01-03 00:00:00,#Google says their #AI system beat real doctors at diagnosing #breastcancer Maybe NOT significantly! But could be good 2nd opinion as technology improves while concerns grow over $Goog accessing more private data. Covered on #foxnews $googl #ThursdayThoughts #technews #healthcare https://t.co/QdYk8jxs9O
2020-01-03 00:00:00,"$SBES bout ready to go green here! flippers out, sellers dried and shorts ready to burn. Lets hit it hard bulls/longs. Lets see some 0150 +

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-03 00:00:00,"Every year 10-15 stocks make the leap from penny stock to Nasdaq on 5-10,000% gains. $ALPP is soon to be one of them. 

$INPX $LVVV $CTYX $SAVA $ADXS $F $GE $MSFT $AAPL $CRON $AMD $SNAP $PLUG $FB $AMZN $GOOG $VSLR $VKTX $CPRX $BILI $CRM $SBES $FCEL https://t.co/j3TWTAKF0O"
2020-01-06 00:00:00,"the new communications sector index is underfollowed, underdiscussed and imo very underinvested in.... $XLC (top 2 holdings are $GOOG $FB reppin 40% of index) new all-time highs across the board"
2020-01-06 00:00:00,Stocks start the first full trading week of 2020 and the decade slightly lower as a strong economy seems to take precedence over a war with Iran. Clearly Trump is crazy so that does somewhat act as a deterrent. Amazon and google moving higher. $amzn $goog
2020-01-06 00:00:00,"$GOOG $GOOGL 

Alphabet Inc. Raised to Buy, Price Target to $1650.00/Share From $1445.00 by Pivotal Research"
2020-01-07 00:00:00,Almost 65% of America have voluntarily let tech companies bug your home. That means NOTHING is private. Buyer beware. $goog $aaapl $Amzn
2020-01-07 00:00:00,"US smart speaker installed base is at more than 80M. Which means more than 65% of US households have one. 

Alexa holds 70% market share. First to market gives you a distinct advantage. https://t.co/ouJdkJBbue"
2020-01-07 00:00:00,"If you invested in Snapchat a year ago, you would have outperformed Twitter, Tesla, Google, Facebook, Apple, Amazon, just to name a few.  Snapchat is the leader in AR, dominating in AR consumer usage.  We have entered the AR decade. 🚀 👻 $SNAP $FB $TWTR $TSLA $GOOG $AAPL $AMZN https://t.co/r1gyIB6Iz5"
2020-01-07 00:00:00,It's time to scale. $GOOG $GOOGL https://t.co/rf1unS9iBK
2020-01-07 00:00:00,"Nuevos máximos históricos hoy:

▪️ Apple $AAPL
▪️ Adobe $ADBE
▪️ Autodesk $ADSK
▪️ Amtek $AME
▪️ Coupa SW $COUP
▪️ Danaher $DHR
▪️ Alphabet $GOOGL $GOOG
▪️ Lululemon $LULU
▪️ Moody's $MCO
▪️ Nike $NK$
▪️ Shopify $SHOP
▪️ Tesla $TSLA
▪️ Vertex $VRTX"
2020-01-07 00:00:00,...so was the #Options side!  Get your BlackBox Gift Card today at 33% Off the regular monthly rate and join Team BlackBox in 2020!! Link in bio 😃💯📈💰 $GOOG $NFLX #OptionsTrading #OptionSweeps #StockOftheDay #StockMarketNews #FinTech #MondayMood #Finance https://t.co/3bD2Qpy0MO
2020-01-08 00:00:00,@teasri @MebFaber @lhamtil @ajb_powell $GM has roughly the same level of TTM sales as $GOOG. Anyone want to sell me $GOOG at a $GM multiple?
2020-01-08 00:00:00,"Portföljen per idag, i storleksordning. Största 10 står för ~55% av tot. 

$INSTAL 
$EVO 
$INSP 
$MTCH 
#24SevenOffice 
$SPOT 
$CYBR 
$MEDI 
$ENEA 
$FTNT 
Kassa
$LIFCO 
$GARO 
$NIBE 
$CHEMM 
$VEEV 
$GOOG 
$MONC 
$CLNK 
$SEDG 
$PING 
$FERRO 
$GENI 
$MA
$ISRG 
$ALGN 
$GENO 
$LEADD"
2020-01-08 00:00:00,"$SBES more attempts with fake news to take it down. Has been hurting but longs just keep loading. #Banktank and Xu got this, not worried.

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-08 00:00:00,If you had to live without one company would you STOP using...
2020-01-08 00:00:00,Cloud service mix @ $AMZN $MSFT $GOOG $BABA https://t.co/iex5cgyYIU
2020-01-08 00:00:00,"$SBES RED TO GREEN ACTION! More shares locked up, thank you for an additional dip. Longs got this. 

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-08 00:00:00,130 peiple to go. Getting close. 😠$spy $spx $es follow the queen to icrease your green!  🐷🐷🐷🐷 $aapl $goog $tsla
2020-01-08 00:00:00,"$GGSM 0018s falling now! Get set for 0020 break and push to 0030s+. Penny land march has started, get on the train!

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-08 00:00:00,"Long $GOOG (El resto también son empresazas, pero me quedo con mi querido Alphabet). 😄"
2020-01-08 00:00:00,"Current Portfolio:
$FB
$TSLA
$SFTBY
$CVNA
$GOOG
$BAM
$BUR
$MATCH
$APT.AU https://t.co/qjGst3tj2r"
2020-01-08 00:00:00,"HyperDrive™ your trade mentoring subscriber service from $950k to 1.5 million (yearly) by marketing on social media - Learn how!!

Part 1 - https://t.co/UIs6XDGr1s
Part 2 - https://t.co/33MlsAO2wl
Videos - https://t.co/DCFFdVrwra

#ES_F #NQ_F #YM_F #OOTT
$VIX $VXX $FB $GOOG https://t.co/QDdG5QMJlz"
2020-01-08 00:00:00,Por que o Google poderia comprar a Salesforce https://t.co/IsTPaJBbdY $GOOG $CRM https://t.co/h8M5ieL7R4
2020-01-09 00:00:00,"Alphabet health group Verily scoops up Tesla's former CFO, among other key hires https://t.co/NmA6ilmzV0"
2020-01-09 00:00:00,"📈📈 Thursday Morning's #Top10 Most Actively-Traded Stocks 📉📉

1. $AMD 
2. $AAPL 
3. $TSLA 
4. $MSFT 
5. $BABS
6. $FB
7. $NFLX
8. $AMZN
9. $GOOGL 
10. $GOOG  

See the rest of today's trending stocks here: https://t.co/ulWhJgJZgh

Are you trading any of these names today? https://t.co/eKFur6xG0a"
2020-01-09 00:00:00,The bull rally continues. Markets flying higher to start the day.  Google has been trading really well since the founders left. Look at how well Microsoft did when Ballmer left. I’m a bull on google. $goog $msft
2020-01-09 00:00:00,Verily $GOOG has hired the former $TSLA CFO whose retirement Elon Musk announced surprisingly at the end of an earnings call last year - @chrissyfarr has the story - tip @Techmeme
2020-01-10 00:00:00,"$ALPP Chart Screaming BOUNCE! Short Term Targets: .36 / .58 / 1.25

$AMD $TTNP $AGTC $FCEL $TRIL $TSRI $NLS $CSLT $BDRY $YRD $JDST $PDS $AMZN $MSFT $FB $GOOG $TSLA $OWCP $OPTI $RBNW $SBES $ADSV $SNPW https://t.co/zbM0DTkPnu"
2020-01-10 00:00:00,That Bill Maris comment implies that Google kept Drummond for another 4 years even after he was causing the shedding of key talent - wonder why $GOOG kept the man
2020-01-10 00:00:00,"The #SectorSelector for 01/10/20 is posted.

🥇 Technology $XLK
🥈 Communications $XLC
🥉 Health Care $XLV

Premium @Market_Scholars can $STUDY the full version at https://t.co/O9z0AIT3ZR

It features stocks near 52 week highs like $AAPL $MSFT $GOOG $FB $CRM $GE $MA $V $KO $GS $K https://t.co/R0Y6ATyNNG"
2020-01-11 00:00:00,Apple is correctly priced at 25 times earning. It’s was way too cheap at 15. This was the Tim Cook discount. Now Apple is valued as other tech giants. Microsoft and google. $aapl $msft $goog
